,price,number_of_bedrooms,numberofbathrooms_per_house,total_living_area_sqft,lot_area_sqft,floors,house_condition,housing_grade,basement_area_sqft,yr_built,latitude,longitude,sqft_living15
84,315000.0,3,1.0,960,6634,1,3,6,0,1952,47.7264,-122.31,1570
85,940000.0,3,1.5,2140,3600,2,3,9,240,1925,47.6337,-122.365,2020
86,305000.0,5,2.25,2660,8400,1,5,7,0,1961,47.2909,-122.189,1590
87,461000.0,3,3.25,2770,6278,2,3,9,790,2006,47.5228,-122.199,1900
88,215000.0,2,2.25,1610,2040,2,4,7,0,1979,47.518,-122.194,1950
89,335000.0,2,1.75,1030,1066,2,3,7,265,2006,47.5394,-122.387,1030
90,243500.0,4,2.5,1980,7403,2,3,7,0,1988,47.2897,-122.37200000000001,1980
91,1100000.0,5,2.75,3520,6353,2,4,10,0,2001,47.6506,-122.391,2520
92,153000.0,3,1.0,1200,10500,1,3,7,0,1962,47.321999999999996,-122.351,1350
93,430000.0,3,1.5,1580,5000,1,3,8,290,1939,47.687,-122.38600000000001,1570
94,700000.0,3,1.5,1580,5000,1,3,8,290,1939,47.687,-122.38600000000001,1570
95,905000.0,4,2.5,3300,10250,1,3,7,910,1946,47.5873,-122.249,1950
96,247500.0,3,1.75,1960,15681,1,3,7,0,1967,47.3576,-122.277,1750
97,199000.0,4,1.5,1160,6400,1,4,7,0,1975,47.3036,-122.37799999999999,1160
98,314000.0,3,1.75,1810,41800,1,5,7,600,1980,47.4109,-121.958,1650
99,437500.0,3,2.5,2320,36847,2,3,9,0,1992,47.4838,-121.714,2550
100,850830.0,3,2.5,2070,13241,1,5,9,800,1910,47.6415,-122.315,2200
101,555000.0,3,2.0,1980,3478,1,4,7,540,1929,47.6775,-122.37200000000001,1610
102,699950.0,3,2.25,2190,107593,2,4,8,0,1983,47.7731,-122.08,2570
103,1090000.0,3,2.5,2920,8113,2,3,8,0,1950,47.5814,-122.196,2370
104,290000.0,3,1.0,1210,33919,1,3,7,0,1954,47.4375,-122.184,1640
105,375000.0,3,2.5,2340,10005,1,4,8,880,1978,47.4431,-122.133,2250
106,460000.0,3,1.0,1670,4005,1,4,7,500,1939,47.6878,-122.38,1240
107,188500.0,2,1.75,1240,2493,1,4,8,0,1985,47.3813,-122.322,1270
108,680000.0,4,2.5,3140,28037,2,4,10,0,1991,47.7304,-122.08200000000001,2990
109,470000.0,5,1.75,2030,12342,2,4,7,0,1942,47.6417,-122.109,2500
110,597750.0,4,2.5,2310,9624,2,3,8,0,1984,47.5386,-122.053,1940
111,570000.0,3,1.75,1260,3328,1,5,6,560,1905,47.6823,-122.34899999999999,1380
112,272500.0,3,1.75,1540,12600,1,4,7,0,1980,47.3624,-122.031,1540
113,329950.0,3,1.75,2080,5969,1,3,7,1000,1971,47.5474,-122.295,2090
114,480000.0,4,2.5,3230,16171,2,3,9,710,2001,47.3183,-122.25299999999999,2640
115,740500.0,3,3.5,4380,6350,2,3,8,0,1900,47.6981,-122.368,1830
116,518500.0,3,3.5,1590,1102,3,3,8,0,2010,47.6824,-122.34700000000001,1620
117,205425.0,2,1.0,880,6780,1,4,6,0,1945,47.5009,-122.24799999999999,1190
118,171800.0,4,2.0,1570,9600,1,3,6,0,1950,47.4965,-122.303,1880
119,535000.0,4,1.0,1610,2982,1,4,7,0,1925,47.586999999999996,-122.294,1610
120,660000.0,3,2.5,2400,6474,1,3,8,840,1964,47.7728,-122.38600000000001,2340
121,391500.0,3,2.0,1450,9132,1,3,7,0,1987,47.7288,-122.226,1580
122,395000.0,2,1.0,770,6000,1,3,6,0,1953,47.6999,-122.36399999999999,1710
123,445000.0,4,1.75,2100,4400,1,5,7,380,1924,47.5299,-122.266,1850
124,770000.0,3,2.25,2910,10204,2,3,9,0,1990,47.6897,-122.098,2700
125,1450000.0,4,2.75,2750,17789,1,3,8,770,1914,47.6141,-122.212,3060
126,445000.0,3,2.25,2100,8201,1,3,8,480,1967,47.5091,-122.244,2660
127,260000.0,4,2.25,2160,8811,1,3,8,800,1978,47.3129,-122.39,2090
128,822500.0,5,3.5,2320,4960,2,5,7,600,1926,47.6763,-122.352,1700
129,430000.0,4,2.5,2070,4310,2,3,7,0,2004,47.5319,-121.85,1970
130,212000.0,3,1.75,1060,7875,1,4,7,0,1986,47.2761,-122.152,1420
131,660500.0,4,2.25,2010,9603,1,3,8,570,1986,47.5343,-122.054,2060
132,784000.0,3,3.5,3950,111078,1,3,9,1490,1989,47.696999999999996,-122.072,2480
133,453246.0,3,2.5,2010,2287,2,3,8,620,2014,47.5517,-121.99799999999999,1690
134,675000.0,4,3.5,2140,2278,3,3,9,0,2005,47.6734,-122.38,1540
135,199000.0,3,1.75,1320,17390,1,4,7,0,1956,47.3257,-122.296,1550
136,220000.0,4,1.75,2020,7840,1,3,7,1010,1968,47.3309,-122.29899999999999,1750
137,452000.0,4,2.25,2590,10002,1,4,8,1250,1968,47.7689,-122.266,1550
138,382500.0,2,1.0,1190,4440,1,3,6,0,1981,47.7135,-122.287,1060
139,519950.0,3,2.25,1170,1249,3,3,8,0,2014,47.6722,-122.381,1350
140,665000.0,2,1.0,1110,3200,1,3,7,0,1925,47.6338,-122.35799999999999,1170
141,527700.0,5,2.5,2820,9375,1,4,8,1270,1968,47.5707,-122.12799999999999,2820
142,205000.0,3,1.0,1610,8579,1,4,7,600,1962,47.4563,-122.171,1610
143,420000.0,3,1.0,1060,8097,1,4,7,120,1923,47.7144,-122.351,1560
144,500000.0,4,2.25,2030,8517,1,4,8,650,1961,47.5495,-122.17399999999999,2230
145,921500.0,4,2.5,3670,315374,2,4,9,0,1994,47.7421,-122.02600000000001,2840
146,890000.0,4,1.0,2550,4000,2,3,8,180,1905,47.6354,-122.353,2200
147,430000.0,2,2.5,2420,60984,2,3,7,0,2007,47.5262,-121.943,1940
148,258000.0,5,2.0,2260,12500,1,4,8,1130,1960,47.3887,-122.286,1360
149,511000.0,3,1.0,1430,3455,1,3,7,450,1947,47.6873,-122.336,1450
150,532170.0,3,2.0,1360,3090,2,3,8,0,1990,47.6838,-122.353,1500
151,560000.0,3,1.0,1110,5000,1,3,7,0,1947,47.655,-122.359,1420
152,282950.0,3,1.0,1250,8200,1,4,7,0,1954,47.3255,-122.304,1680
154,350000.0,1,1.0,700,5100,1,3,7,0,1942,47.678999999999995,-122.3,1010
155,215000.0,3,1.0,1180,7669,1,4,7,0,1967,47.4479,-122.176,1190
156,650000.0,5,3.5,3960,25245,2,3,9,1460,1996,47.525,-122.17200000000001,2640
157,320000.0,4,2.75,2640,7500,1,3,8,1020,1967,47.3135,-122.369,1980
158,247000.0,3,2.0,1270,7198,1,3,7,0,1916,47.2086,-121.99600000000001,1160
159,320000.0,4,1.75,1760,11180,1,4,8,0,1968,47.4715,-122.118,1730
160,255000.0,5,2.25,2060,8632,1,3,7,1030,1962,47.4877,-122.335,1010
161,438000.0,3,1.75,1780,9660,1,3,7,0,1962,47.7171,-122.193,1200
162,900000.0,3,2.5,3400,16603,2,3,10,0,2000,47.6012,-122.023,3400
163,441000.0,3,2.75,1910,7280,1,3,7,750,1979,47.7319,-122.22399999999999,1710
164,420000.0,3,2.0,2020,38332,1,4,7,1010,1975,47.4582,-122.023,2110
165,370000.0,3,1.75,1580,7000,1,3,7,400,1976,47.7209,-122.16799999999999,1640
166,269950.0,2,1.75,1340,7250,1,5,5,640,1949,47.408,-122.32700000000001,1830
167,807100.0,4,2.5,2680,4499,2,3,9,0,1999,47.565,-122.125,2920
168,653000.0,3,2.5,2680,9750,1,4,8,1070,1979,47.7028,-122.23100000000001,2480
169,371500.0,3,2.0,1370,8336,1,5,7,0,1964,47.7458,-122.331,1770
170,284000.0,3,1.75,1560,21000,1,3,7,0,1954,47.4776,-122.337,1070
171,272000.0,3,1.75,2160,7140,1,4,7,490,1978,47.3026,-122.374,1930
172,313000.0,3,1.5,1340,7912,1,3,7,0,1955,47.7658,-122.339,1480
173,917500.0,4,2.5,3880,35003,2,3,10,1310,1984,47.6477,-122.182,3740
174,673000.0,4,2.25,2590,8190,2,4,8,0,1980,47.5619,-122.125,2260
175,425000.0,3,2.5,1120,1100,2,3,8,300,2008,47.6106,-122.31,1590
176,399950.0,5,2.75,1970,5400,1,3,7,650,1986,47.5868,-122.30799999999999,1280
177,385000.0,3,1.0,1220,4800,1,3,6,0,1901,47.6101,-122.307,1200
178,269950.0,3,1.5,1950,7560,1,4,7,630,1975,47.1976,-121.999,1950
179,330000.0,2,1.0,1350,8220,1,3,7,290,1949,47.7224,-122.35799999999999,1540
180,260000.0,3,2.5,1670,5797,2,3,7,0,1988,47.3505,-122.179,1670
181,470000.0,4,3.0,2380,5125,1,4,7,700,1925,47.5384,-122.376,1410
182,589000.0,4,3.0,2440,9600,2,5,7,0,1961,47.7044,-122.2,2290
183,163500.0,2,1.5,1050,3419,2,3,7,0,1996,47.3848,-122.039,1050
184,835000.0,4,2.75,3130,13412,2,3,9,990,1993,47.6993,-122.102,2260
185,1100000.0,5,3.0,4090,12850,1,4,10,2000,1986,47.6627,-122.18799999999999,2540
186,269000.0,4,1.75,1490,10000,1,4,8,390,1969,47.3099,-122.37899999999999,2190
187,560000.0,3,2.5,1900,8744,2,3,8,0,1987,47.62,-122.04299999999999,2030
188,615000.0,4,1.0,1330,2400,1,4,6,0,1901,47.65,-122.34,1330
189,585188.0,3,2.25,2230,10026,1,3,8,800,1975,47.6647,-122.15299999999999,2230
190,305000.0,3,1.75,1650,9480,1,3,7,430,1977,47.726000000000006,-122.191,1540
191,166950.0,3,1.0,1190,8820,1,3,6,0,1959,47.4616,-122.184,1230
192,799000.0,3,2.5,2140,9897,1,4,8,0,1959,47.5505,-122.219,2680
193,400000.0,3,2.5,2180,7508,1,4,7,760,1962,47.7606,-122.336,1900
194,230000.0,3,1.0,1060,10228,1,3,7,0,1948,47.7481,-122.3,1570
195,256883.0,3,2.5,1690,5025,2,3,8,0,2003,47.2779,-122.34700000000001,2550
196,423000.0,4,2.0,1970,6480,1,5,7,840,1920,47.5511,-122.31200000000001,1500
197,465000.0,3,2.5,2150,4084,2,3,8,0,2007,47.5488,-122.37200000000001,1750
198,440000.0,3,2.5,1910,66211,2,3,7,0,1997,47.5385,-121.911,2330
199,385000.0,3,1.75,1350,155073,1,4,7,0,1969,47.4058,-121.994,1560
200,210000.0,3,1.0,860,11725,1,4,6,0,1943,47.5093,-122.184,1300
201,297000.0,3,2.5,1940,14952,2,3,8,0,1994,47.3777,-122.165,2030
202,470000.0,3,1.0,1010,5000,1,3,7,0,1952,47.675,-122.39399999999999,1680
203,226500.0,3,1.5,1300,7370,1,4,7,400,1976,47.3025,-122.37,1430
204,274250.0,3,1.0,910,8450,1,4,6,0,1962,47.4787,-122.15799999999999,1400
205,840000.0,4,1.75,2480,11010,1,4,9,850,1966,47.5378,-122.219,2770
206,677900.0,3,2.5,2440,4587,2,3,8,0,2010,47.7073,-122.11399999999999,2750
207,425000.0,3,1.0,1010,5864,1,3,7,0,1915,47.5733,-122.381,1290
208,180250.0,2,0.75,900,9600,1,3,6,0,1941,47.4604,-122.339,1250
209,464000.0,6,3.0,2300,3404,2,3,7,700,1920,47.7067,-122.34299999999999,1560
210,320000.0,4,2.25,1550,7579,2,3,8,0,1993,47.354,-122.04700000000001,1630
211,625504.0,3,2.25,1270,1566,2,3,8,210,2014,47.6647,-122.28399999999999,1160
212,592500.0,4,2.5,2240,12032,1,3,9,0,1983,47.6143,-122.01700000000001,2520
213,465000.0,3,2.5,2714,17936,2,3,9,0,2005,47.3185,-122.275,2590
214,477000.0,4,2.75,1720,6270,2,3,8,0,1978,47.5458,-122.26799999999999,2130
215,280000.0,2,1.0,850,16400,1,3,6,0,1923,47.4889,-122.29899999999999,1100
216,1510000.0,5,3.0,3300,33474,1,3,9,1430,1957,47.5673,-122.21,3836
217,445838.0,3,2.5,2250,5692,2,3,8,0,2000,47.5133,-122.37899999999999,1320
218,1070000.0,2,2.25,3900,14864,1,3,8,1950,1947,47.5884,-122.291,2580
219,467000.0,2,1.5,1320,10800,1,4,8,0,1947,47.7145,-122.367,2120
220,686000.0,4,2.5,2760,6440,2,3,10,0,1999,47.5836,-122.02600000000001,3070
221,279950.0,3,2.0,1750,9750,1,3,7,400,1961,47.398,-122.29899999999999,1900
222,527000.0,4,2.25,2330,19436,2,3,8,0,1987,47.7663,-122.215,1910
223,325000.0,3,2.25,2220,16020,1,4,8,440,1966,47.3758,-122.21700000000001,2080
224,328000.0,3,2.25,2020,8379,2,3,7,0,1994,47.3828,-122.023,2020
225,390000.0,3,2.25,1250,7500,1,5,7,0,1942,47.5123,-122.37299999999999,1280
226,479950.0,2,2.0,1510,6516,1,3,8,0,2005,47.7076,-122.01299999999999,1640
227,264950.0,4,2.25,1720,9753,1,4,7,600,1978,47.2922,-122.37100000000001,1510
228,235000.0,3,1.0,1430,15246,1,4,7,450,1961,47.4075,-122.214,1960
229,516500.0,3,2.5,1480,4729,2,3,7,0,2004,47.6794,-122.03399999999999,2250
230,655000.0,2,1.75,1450,15798,2,3,7,220,1915,47.4497,-122.375,2030
231,500000.0,4,2.75,2280,15347,1,5,7,0,1960,47.5218,-122.164,2280
232,315000.0,6,2.75,2940,7350,1,3,8,1160,1978,47.3103,-122.339,2120
233,213000.0,2,1.0,1000,10200,1,3,6,0,1961,47.5687,-121.899,1150
234,475000.0,3,1.5,2480,5280,1,5,7,860,1947,47.5575,-122.303,2090
235,1030000.0,5,4.0,3760,28040,2,3,10,0,1983,47.6489,-122.18299999999999,3430
236,416000.0,3,2.0,2220,94300,1,5,7,580,1976,47.3459,-121.95,2070
237,410000.0,4,1.0,1970,4740,1,3,7,300,1904,47.6136,-122.303,1510
238,800000.0,3,3.5,3830,221284,2,3,10,300,1993,47.7641,-122.023,2920
239,472000.0,6,2.5,4410,14034,1,4,9,2060,1965,47.3376,-122.324,2600
240,225000.0,3,1.75,1430,8505,1,4,7,0,1968,47.3173,-122.319,1190
241,210000.0,2,1.0,830,6000,1,3,6,0,1940,47.5308,-122.376,830
242,455000.0,2,1.0,1430,5000,1,2,7,0,1925,47.6727,-122.29899999999999,1450
243,225000.0,3,1.0,1300,8316,1,4,6,0,1954,47.3221,-122.21600000000001,1260
244,480000.0,2,1.0,1030,3060,1,4,7,240,1918,47.6779,-122.353,1390
245,363000.0,3,2.5,2740,11872,2,3,9,0,1990,47.3076,-122.395,2570
247,181000.0,2,1.5,720,5120,1,3,6,0,1954,47.5218,-122.35700000000001,1150
248,250000.0,4,2.0,2010,7312,1,4,7,0,1976,47.2785,-122.213,2010
249,481000.0,3,1.75,1560,3000,1,4,6,790,1918,47.6846,-122.345,1390
250,260000.0,3,2.0,1810,7209,1,4,7,570,1978,47.3656,-122.27799999999999,1750
251,455000.0,4,2.5,3360,7685,2,3,9,0,2001,47.4369,-122.111,3060
252,415000.0,3,2.25,1510,36224,2,3,8,0,1991,47.4616,-121.711,1730
253,349500.0,3,1.0,1400,3538,1,3,7,600,1953,47.5405,-122.27,1620
254,245000.0,3,2.5,1730,7442,2,3,7,0,1987,47.3507,-122.178,1630
255,592500.0,2,2.0,1420,9191,1,5,7,0,1928,47.6979,-122.32,1420
256,385000.0,4,1.75,2360,7620,1,4,7,1180,1955,47.5278,-122.345,1910
257,315000.0,3,1.75,1580,11455,1,4,7,380,1974,47.4756,-122.147,1550
258,255000.0,3,1.0,1230,10170,1,3,7,0,1979,47.4437,-121.772,1380
259,693000.0,4,2.5,2460,4425,2,3,8,0,2006,47.7048,-122.109,2990
260,780000.0,3,1.0,1660,4400,1,3,8,200,1911,47.6362,-122.302,1660
261,237000.0,3,1.75,1270,8470,1,4,7,0,1960,47.4207,-122.29,1600
262,525000.0,3,2.25,2100,40510,2,3,10,780,1979,47.6154,-122.04700000000001,2380
263,425000.0,2,1.0,770,5040,1,3,5,0,1930,47.5964,-122.29899999999999,1330
264,369900.0,1,0.75,760,10079,1,5,5,0,1936,47.4683,-122.43799999999999,1230
265,290000.0,4,2.5,1700,7280,2,4,7,0,1988,47.4045,-122.171,1950
266,285000.0,3,1.0,1120,10701,1,3,7,0,1954,47.5544,-122.35799999999999,1130
267,415000.0,2,1.0,1070,4500,1,3,7,0,1937,47.6802,-122.29,1320
268,272500.0,3,2.5,2070,9900,1,3,8,650,1979,47.2988,-122.37100000000001,2070
270,1370000.0,4,4.75,5310,57346,2,4,11,0,1989,47.7285,-122.042,4180
271,436000.0,2,1.0,1040,7538,1,4,7,0,1939,47.7107,-122.352,1440
272,210000.0,3,1.0,1700,11390,1,4,7,0,1967,47.3271,-122.323,1350
273,236000.0,3,1.0,1300,5898,1,3,7,0,1961,47.5053,-122.255,1320
274,331000.0,3,1.75,1080,1306,1,3,7,500,1954,47.6601,-122.4,1440
275,365000.0,3,2.5,2653,4510,2,3,8,0,2006,47.4145,-122.166,2653
276,450000.0,3,2.0,2290,16258,1,5,8,0,1960,47.4672,-122.165,1660
277,770000.0,4,2.75,3820,26300,2,3,9,970,2014,47.7618,-122.26100000000001,1860
278,455000.0,4,2.5,2210,49375,1,3,8,0,1997,47.3828,-122.071,2670
279,405000.0,3,1.75,2390,6000,1,3,6,1150,1908,47.5362,-122.26799999999999,2020
280,304900.0,4,1.75,2600,11325,1,4,7,990,1969,47.3954,-122.206,1720
281,170000.0,2,1.0,860,5265,1,3,6,0,1931,47.5048,-122.272,1650
283,780000.0,4,2.5,3500,7048,2,3,9,0,2005,47.6811,-122.025,3920
284,330000.0,3,3.0,2420,13959,1,4,8,680,1988,47.7486,-122.23,2570
285,370000.0,4,2.5,2720,8666,2,3,9,0,1992,47.3846,-122.169,2410
286,467000.0,5,2.25,2500,13500,1,3,7,650,1979,47.7564,-122.14399999999999,2300
287,405000.0,3,1.75,1670,6720,1,3,7,530,1980,47.7198,-122.193,1670
288,675000.0,5,2.25,2900,10300,1,3,8,1450,1985,47.5461,-122.15100000000001,2310
289,500000.0,2,1.0,1640,14100,1,4,7,500,1954,47.5712,-122.14299999999999,1520
290,389999.0,4,2.5,1890,15770,2,4,7,0,1968,47.4281,-122.34299999999999,2410
291,630000.0,4,1.75,2950,9025,1,4,8,1170,1975,47.7128,-122.223,2120
292,360000.0,4,2.5,2160,9528,2,3,9,0,1992,47.3341,-122.255,2280
293,580000.0,4,3.0,3280,11060,2,3,8,1010,1986,47.5399,-122.181,2320
294,550000.0,3,2.0,1970,4166,2,5,8,700,1929,47.5717,-122.375,2390
295,879000.0,4,2.5,3360,22111,2,3,10,0,1994,47.5951,-122.01700000000001,3150
296,265000.0,3,2.0,1320,8959,1,3,7,0,1993,47.3536,-122.14399999999999,1740
297,446500.0,3,2.5,2650,7286,2,3,8,0,1990,47.5084,-122.154,2400
298,404000.0,3,1.5,2030,8880,1,3,7,700,1963,47.5586,-122.311,2140
299,267500.0,3,1.75,1590,11914,1,3,7,500,1957,47.4427,-122.274,1630
301,335000.0,3,2.5,2440,7632,2,3,8,0,1998,47.3494,-122.301,2510
302,576000.0,3,2.5,1940,9000,1,4,7,970,1948,47.6933,-122.39299999999999,2190
303,208633.0,3,2.5,2040,3810,2,3,8,0,2006,47.3537,-122.0,2370
304,315000.0,3,2.25,2200,8750,1,4,7,1080,1964,47.476000000000006,-122.337,1460
305,725000.0,3,1.75,1920,3300,1,4,8,960,1913,47.6239,-122.29799999999999,1740
306,550000.0,4,2.75,1800,7750,1,4,8,400,1965,47.7776,-122.384,1800
307,610750.0,4,2.25,2180,7297,2,3,8,0,1984,47.6459,-122.05799999999999,2250
308,550700.0,2,1.0,1010,5000,1,4,6,0,1908,47.6692,-122.29700000000001,1460
309,665000.0,4,2.75,3320,10574,2,5,8,0,1960,47.5376,-122.18,2720
310,834000.0,4,2.5,2370,4000,1,5,8,390,1928,47.601000000000006,-122.294,2440
311,201000.0,5,1.75,1660,78408,1,3,6,0,1915,47.528999999999996,-121.837,1660
313,1380000.0,4,3.25,4290,12103,1,3,11,1600,1997,47.5503,-122.102,3860
314,1400000.0,4,3.25,4290,12103,1,3,11,1600,1997,47.5503,-122.102,3860
315,305000.0,4,2.25,1950,7700,1,3,8,600,1979,47.4441,-122.125,2150
316,487000.0,3,2.0,2590,14052,1,5,8,870,1948,47.7357,-122.333,1570
317,390000.0,3,2.5,1930,64904,1,4,8,0,1988,47.346000000000004,-122.15700000000001,2350
